unigram	frequency
green	11
afar	11
challenge	11
bands	11
wit	11
staid	11
dragged	11
inward	11
encircling	11
lamentation	11
unseemly	11
urging	11
poised	11
laughing	11
hellespont	11
tomb	11
thrasymedes	11
hitting	11
egypt	11
gift	11
hitherto	11
onwards	11
omens	11
garden	11
talents	11
wedded	11
treating	11
vineyard	11
houses	11
thighs	11
splendid	11
wants	11
safety	11
lamenting	11
forehead	11
boy	11
fastened	11
tables	11
substance	11
figure	11
sending	11
protected	11
drop	11
instantly	11
blew	11
effect	10
note	10
bank	10
roar	10
tlepolemus	10
tin	10
antiphus	10
flow	10
months	10
creatures	10
forces	10
serve	10
sands	10
knowledge	10
directly	10
delighted	10
clasped	10
mourning	10
nipple	10
vouchsafes	10
change	10
longing	10
sits	10
donned	10
retreat	10
whoever	10
otherwise	10
hellas	10
hateful	10
plant	10
honourable	10
blue	10
roots	10
sand	10
couple	10
rugged	10
liking	10
bidden	10
rolling	10
aeolus	10
buried	10
grove	10
misfortunes	10
fruit	10
sirens	10
thundering	10
soil	10
wrist	10
east	10
assented	10
brawny	10
divide	10
seals	10
honey	10
upwards	10
stout	10
hearth	10
according	10
counsellor	10
footstool	10
moan	10
meaning	10
inspired	10
victims	10
portion	10
pandarus	10
rescue	10
fortune	10
fancy	10
gore	10
dancing	10
lycian	10
raw	10
hospitably	10
maidens	10
pursue	10
sigh	10
venture	10
playing	10
rent	10
rejoiced	10
youngest	10
beating	10
hippolochus	10
art	10
terror	10
throng	10
blaze	10
played	10
befallen	10
assembled	10
wheels	10
instructions	10
wandering	10
brains	10
slaughter	10
pine	10
bottom	10
voices	10
willing	10
falls	10
advice	10
breathed	10
rear	10
hurrying	10
counsellors	10
neighbour	10
laodamas	10
sacrifices	10
runs	10
homeward	10
upright	10
ambrosial	10
firmament	10
fearful	10
ocean	10
begotten	10
talthybius	10
flat	10
agelaus	10
wake	10
sparta	10
passing	10
handle	10
holds	10
fairest	10
bier	10
layers	10
ewes	10
wool	10
tongues	10
deck	10
ashes	10
icarius	10
ranged	10
hemmed	9
troubled	9
season	9
quietly	9
victorious	9
entrails	9
axe	9
heartily	9
rough	9
shut	9
yellow	9
eyed	9
larger	9
sternly	9
scheming	9
hill	9
meges	9
earnest	9
sisters	9
doorway	9
tops	9
bit	9
footed	9
sincerity	9
pitied	9
bows	9
ashen	9
lately	9
sterns	9
bay	9
